Asset Tag,Cost Center,Purchase Cost,Location
1000320007011-0000,10050769,"2,971.52",MKM018 - ถนนบรบือ-วาปีปทุม
1000320007012-0000,10050782,"2,971.52",KSN010 - คำม่วง
1000320007013-0000,10050786,"2,971.52",UBN027 - ถนนชยางกูร (ม่วงสามสิบ)
1000320007014-0000,10050786,"2,971.52",UBN027 - ถนนชยางกูร (ม่วงสามสิบ)
1000320007015-0000,10050787,"2,971.52",RYG033 - สี่แยกวังตาผิน
1000320007016-0000,10050786,"2,971.52",UBN027 - ถนนชยางกูร (ม่วงสามสิบ)
1000320007017-0000,10050787,"2,971.52",RYG033 - สี่แยกวังตาผิน
1000320007018-0000,10050750,"2,971.52",BKK073 - สรงประภา
1000320007019-0000,10050750,"2,971.52",BKK073 - สรงประภา
1000320007020-0000,10050750,"2,971.52",BKK073 - สรงประภา
1000320007021-0000,10050762,"2,971.52",SKN027 - ตลาดวาสนา
1000320007022-0000,10050762,"2,971.52",SKN027 - ตลาดวาสนา
1000320007023-0000,10050761,"2,971.52",SKN028 - ถนนเศรษฐกิจ 1
1000320007024-0000,10050750,"2,971.52",BKK073 - สรงประภา
1000320007025-0000,10050761,"2,971.52",SKN028 - ถนนเศรษฐกิจ 1
1000320007026-0000,10050755,"2,971.52",YST005 - ป่าติ้ว
1000320007027-0000,10050762,"2,971.52",SKN027 - ตลาดวาสนา
1000320007028-0000,10050761,"2,971.52",SKN028 - ถนนเศรษฐกิจ 1
1000320007029-0000,10050761,"2,971.52",SKN028 - ถนนเศรษฐกิจ 1
1000320007030-0000,10050755,"2,971.52",YST005 - ป่าติ้ว
1000320007031-0000,10050755,"2,971.52",YST005 - ป่าติ้ว
1000320007032-0000,10050762,"2,971.52",SKN027 - ตลาดวาสนา
1000320007033-0000,10050762,"2,971.52",SKN027 - ตลาดวาสนา
1000320007034-0000,10050750,"2,971.52",BKK073 - สรงประภา
1000320007035-0000,10050755,"2,971.52",YST005 - ป่าติ้ว
1000320007036-0000,10050755,"2,971.52",YST005 - ป่าติ้ว
1000320007037-0000,10050745,"2,971.52",NPT018 - ท่าพูด
1000320007038-0000,10050752,"2,971.52",UDN012 - บ้านดุง
1000320007039-0000,10050765,"2,971.52",KSN009 - หนองกุงศรี
1000320007040-0000,10050741,"2,971.52",PTE033 - ชุมชนเปียร์นนท์
1000320007041-0000,10050752,"2,971.52",UDN012 - บ้านดุง
1000320007042-0000,10050752,"2,971.52",UDN012 - บ้านดุง
1000320007043-0000,10050741,"2,971.52",PTE033 - ชุมชนเปียร์นนท์
1000320007044-0000,10050752,"2,971.52",UDN012 - บ้านดุง
1000320007045-0000,10050752,"2,971.52",UDN012 - บ้านดุง
1000320007046-0000,10050744,"2,971.52",NSN014 - ตลาดศรีนคร
1000320007047-0000,10050744,"2,971.52",NSN014 - ตลาดศรีนคร
1000320007048-0000,10050744,"2,971.52",NSN014 - ตลาดศรีนคร
1000320007049-0000,10050744,"2,971.52",NSN014 - ตลาดศรีนคร
1000320007050-0000,10050744,"2,971.52",NSN014 - ตลาดศรีนคร
1000320007051-0000,10050765,"2,971.52",KSN009 - หนองกุงศรี
1000320007052-0000,10050748,"2,971.52",SKN025 - ถนนพุทธสาคร สาย4
1000320007053-0000,10050748,"2,971.52",SKN025 - ถนนพุทธสาคร สาย4
1000320007054-0000,10050741,"2,971.51",PTE033 - ชุมชนเปียร์นนท์
1000320007055-0000,10050748,"2,971.51",SKN025 - ถนนพุทธสาคร สาย4
1000320007056-0000,10050748,"2,971.51",SKN025 - ถนนพุทธสาคร สาย4
1000320007057-0000,10050748,"2,971.51",SKN025 - ถนนพุทธสาคร สาย4
1000320007058-0000,10050768,"2,971.51",CBI098 - ตลาดกุลศรี
1000320007059-0000,10050774,"2,971.51",NPT021 - วัดไร่ขิง
1000320007060-0000,10050768,"2,971.51",CBI098 - ตลาดกุลศรี
1000320007061-0000,10050774,"2,971.51",NPT021 - วัดไร่ขิง
1000320007062-0000,10050771,"2,971.51",YST006 - คำเขื่อนแก้ว
1000320007063-0000,10050760,"2,971.51",CTI005 - พลับพลา
1000320007064-0000,10050771,"2,971.51",YST006 - คำเขื่อนแก้ว
1000320007065-0000,10050760,"2,971.51",CTI005 - พลับพลา
1000320007066-0000,10050760,"2,971.51",CTI005 - พลับพลา
1000320007067-0000,10050768,"2,971.51",CBI098 - ตลาดกุลศรี
1000320007068-0000,10050774,"2,971.51",NPT021 - วัดไร่ขิง
1000320007069-0000,10050768,"2,971.51",CBI098 - ตลาดกุลศรี
1000320007070-0000,10050760,"2,971.51",CTI005 - พลับพลา
1000320007071-0000,10050771,"2,971.51",YST006 - คำเขื่อนแก้ว
1000320007072-0000,10050771,"2,971.51",YST006 - คำเขื่อนแก้ว
1000320007073-0000,10050771,"2,971.51",YST006 - คำเขื่อนแก้ว
1000320007074-0000,10050774,"2,971.51",NPT021 - วัดไร่ขิง
1000320007075-0000,10050768,"2,971.51",CBI098 - ตลาดกุลศรี
1000320007076-0000,10050774,"2,971.51",NPT021 - วัดไร่ขิง
1000320007077-0000,10050777,"2,971.51",MDH003 - สามแยก ธกส.มุกดาหาร
1000320007078-0000,10050742,"2,971.51",UDN011 - หนองหาน
1000320007079-0000,10050742,"2,971.51",UDN011 - หนองหาน
1000320007080-0000,10050742,"2,971.51",UDN011 - หนองหาน
1000320007081-0000,10050747,"2,971.51",SKN024 - โพธิ์แจ้
1000320007082-0000,10050746,"2,971.51",BKK072 - ถนนเฉลิมพระเกียรติ ร.9
1000320007083-0000,10050747,"2,971.51",SKN024 - โพธิ์แจ้
1000320007084-0000,10050746,"2,971.51",BKK072 - ถนนเฉลิมพระเกียรติ ร.9
1000320007085-0000,10050746,"2,971.51",BKK072 - ถนนเฉลิมพระเกียรติ ร.9
1000320007086-0000,10050747,"2,971.51",SKN024 - โพธิ์แจ้
1000320007087-0000,10050747,"2,971.51",SKN024 - โพธิ์แจ้
1000320007088-0000,10050742,"2,971.51",UDN011 - หนองหาน
1000320007089-0000,10050746,"2,971.51",BKK072 - ถนนเฉลิมพระเกียรติ ร.9
1000320007090-0000,10050746,"2,971.51",BKK072 - ถนนเฉลิมพระเกียรติ ร.9
1000320007091-0000,10050585,"2,971.51",RET010 - สาเกตุนคร
1000320007092-0000,10050737,"2,971.51",KKN037 - สี่แยกบ้านเกิ้ง
1000320007093-0000,10050753,"2,971.51",RYG031 - บ้านใต้สุน
1000320007094-0000,10050753,"2,971.51",RYG031 - บ้านใต้สุน
1000320007095-0000,10050753,"2,971.51",RYG031 - บ้านใต้สุน
1000320007096-0000,10050753,"2,971.51",RYG031 - บ้านใต้สุน
1000320007097-0000,10050753,"2,971.51",RYG031 - บ้านใต้สุน
1000320007098-0000,10050737,"2,971.51",KKN037 - สี่แยกบ้านเกิ้ง
1000320007099-0000,10050737,"2,971.51",KKN037 - สี่แยกบ้านเกิ้ง
1000320007100-0000,10050751,"2,971.51",RBR011 - ดำเนินสะดวก
1000320007101-0000,10050751,"2,971.51",RBR011 - ดำเนินสะดวก
1000320007102-0000,10050751,"2,971.51",RBR011 - ดำเนินสะดวก
1000320007103-0000,10050751,"2,971.51",RBR011 - ดำเนินสะดวก
1000320007104-0000,10050751,"2,971.51",RBR011 - ดำเนินสะดวก
1000320007105-0000,10050585,"2,971.51",RET010 - สาเกตุนคร
1000320007106-0000,10050585,"2,971.51",RET010 - สาเกตุนคร
1000320007107-0000,10050737,"2,971.51",KKN037 - สี่แยกบ้านเกิ้ง
1000320007108-0000,10050737,"2,971.51",KKN037 - สี่แยกบ้านเกิ้ง
1000320007109-0000,10050741,"2,971.51",PTE033 - ชุมชนเปียร์นนท์
1000320007110-0000,10050741,"2,971.51",PTE033 - ชุมชนเปียร์นนท์
1000320007111-0000,10050747,"2,971.51",SKN024 - โพธิ์แจ้
1000320007112-0000,10050347,"2,971.51",CBI038 - ศุขประยูร
1000320007113-0000,10050347,"2,971.51",CBI038 - ศุขประยูร
1000320007114-0000,10050754,"2,971.51",RYG032 - กระเฉด
1000320007115-0000,10050718,"2,971.51",BKK071 - ถนนพระยาสุเรนทร์
1000320007116-0000,10050718,"2,971.51",BKK071 - ถนนพระยาสุเรนทร์
1000320007117-0000,10050754,"2,971.51",RYG032 - กระเฉด
1000320007118-0000,10050718,"2,971.51",BKK071 - ถนนพระยาสุเรนทร์
1000320007119-0000,10050716,"2,971.51",UBN023 - หน้า ม.อุบลราชธานี
1000320007120-0000,10050716,"2,971.51",UBN023 - หน้า ม.อุบลราชธานี
1000320007121-0000,10050718,"2,971.51",BKK071 - ถนนพระยาสุเรนทร์
1000320007122-0000,10050716,"2,971.51",UBN023 - หน้า ม.อุบลราชธานี
1000320007123-0000,10050754,"2,971.51",RYG032 - กระเฉด
1000320007124-0000,10050754,"2,971.51",RYG032 - กระเฉด
1000320007125-0000,10050718,"2,971.51",BKK071 - ถนนพระยาสุเรนทร์
1000320007126-0000,10050347,"2,971.51",CBI038 - ศุขประยูร
1000320007127-0000,10050347,"2,971.51",CBI038 - ศุขประยูร
1000320007128-0000,10050754,"2,971.51",RYG032 - กระเฉด
1000320007129-0000,10050716,"2,971.51",UBN023 - หน้า ม.อุบลราชธานี
1000320007130-0000,10050716,"2,971.51",UBN023 - หน้า ม.อุบลราชธานี
1000320007131-0000,10050756,"2,971.51",CBI096 - หนองแขวะ
1000320007132-0000,10050766,"2,971.51",RYG029 - ตลาดป่ามะพร้าว
1000320007133-0000,10050764,"2,971.51",SKN026 - บางหญ้าแพรก
1000320007134-0000,10050756,"2,971.51",CBI096 - หนองแขวะ
1000320007135-0000,10050745,"2,971.51",NPT018 - ท่าพูด
1000320007136-0000,10050766,"2,971.51",RYG029 - ตลาดป่ามะพร้าว
1000320007137-0000,10050766,"2,971.51",RYG029 - ตลาดป่ามะพร้าว
1000320007138-0000,10050745,"2,971.51",NPT018 - ท่าพูด
1000320007139-0000,10050756,"2,971.51",CBI096 - หนองแขวะ
1000320007140-0000,10050764,"2,971.51",SKN026 - บางหญ้าแพรก
1000320007141-0000,10050764,"2,971.51",SKN026 - บางหญ้าแพรก
1000320007142-0000,10050756,"2,971.51",CBI096 - หนองแขวะ
1000320007143-0000,10050764,"2,971.51",SKN026 - บางหญ้าแพรก
1000320007144-0000,10050756,"2,971.51",CBI096 - หนองแขวะ
1000320007145-0000,10050745,"2,971.51",NPT018 - ท่าพูด
1000320007146-0000,10050371,"2,971.51",MKM010 - นาดูน
1000320007147-0000,10050745,"2,971.51",NPT018 - ท่าพูด
1000320007148-0000,10050764,"2,971.51",SKN026 - บางหญ้าแพรก
1000320007149-0000,10050464,"2,971.51",CCO017 - สนามชัยเขต
1000320007150-0000,10050106,"2,971.78",BKK021 - หมู่บ้านนันทวัน5
1000320007381-0000,10050790,"3,316.04",BKK075 - ไทยรามัญ (หทัยราษฎร์)
1000320007382-0000,10050790,"3,316.04",BKK075 - ไทยรามัญ (หทัยราษฎร์)
1000320007383-0000,10050744,"3,316.04",NSN014 - ตลาดศรีนคร
1000320007384-0000,10050790,"3,316.04",BKK075 - ไทยรามัญ (หทัยราษฎร์)
1000320007385-0000,10050788,"3,316.04",SSK012 - หนองหญ้าลาด
1000320007386-0000,10050770,"3,316.04",MKM019 - ชื่นชม
1000320007387-0000,10050790,"3,316.04",BKK075 - ไทยรามัญ (หทัยราษฎร์)
1000320007388-0000,10050787,"3,316.04",RYG033 - สี่แยกวังตาผิน
1000320007389-0000,10050788,"3,316.04",SSK012 - หนองหญ้าลาด
1000320007390-0000,10050788,"3,316.04",SSK012 - หนองหญ้าลาด
1000320007391-0000,10050770,"3,316.04",MKM019 - ชื่นชม
1000320007392-0000,10050744,"3,316.04",NSN014 - ตลาดศรีนคร
1000320007393-0000,10050790,"3,316.04",BKK075 - ไทยรามัญ (หทัยราษฎร์)
1000320007394-0000,10050787,"3,316.04",RYG033 - สี่แยกวังตาผิน
1000320007395-0000,10050770,"3,316.04",MKM019 - ชื่นชม
1000320007396-0000,10050788,"3,316.04",SSK012 - หนองหญ้าลาด
1000320007397-0000,10050770,"3,316.04",MKM019 - ชื่นชม
1000320007398-0000,10050744,"3,316.04",NSN014 - ตลาดศรีนคร
1000320007399-0000,10050770,"3,316.04",MKM019 - ชื่นชม
1000320007400-0000,10050788,"3,316.04",SSK012 - หนองหญ้าลาด
1000320007401-0000,10050800,"3,316.04",BRM021 - ดูโฮมบุรีรัมย์
1000320007402-0000,10050800,"3,316.04",BRM021 - ดูโฮมบุรีรัมย์
1000320007404-0000,#N/A,"3,316.04",UDN018 - 
1000320007405-0000,#N/A,"3,316.04",UDN018 - 
1000320007406-0000,10050800,"3,316.04",BRM021 - ดูโฮมบุรีรัมย์
1000320007407-0000,#N/A,"3,316.04",UDN018 - 
1000320007410-0000,10050807,"3,316.04",RYG037 - กรอกยายชา
1000320007411-0000,10050802,"3,316.04",NKI002 - โพนพิสัย
1000320007412-0000,10050802,"3,316.04",NKI002 - โพนพิสัย
1000320007413-0000,10050575,"3,316.04",SPB013 - ด่านช้าง
1000320007414-0000,10050802,"3,316.04",NKI002 - โพนพิสัย
1000320007415-0000,10050569,"3,316.04",UBN021 - นาเยีย
1000320007416-0000,10050640,"3,316.04",KSN007 - สมเด็จ
1000320007417-0000,10050802,"3,316.04",NKI002 - โพนพิสัย
1000320007418-0000,10050802,"3,316.04",NKI002 - โพนพิสัย
1000320007419-0000,#N/A,"3,316.04",UDN018 - 
1000320007420-0000,#N/A,"3,316.04",UDN018 - 
1000320007421-0000,10050799,"3,316.04",NMA083 - พิมายเมืองใหม่
1000320007422-0000,10050799,"3,316.04",NMA083 - พิมายเมืองใหม่
1000320007423-0000,10050799,"3,316.04",NMA083 - พิมายเมืองใหม่
1000320007424-0000,10050499,"3,316.04",PCT003 - ถนนสระหลวง
1000320007425-0000,10050801,"3,316.04",UDN015 - ศรีสุทโธ
1000320007426-0000,10050801,"3,316.04",UDN015 - ศรีสุทโธ
1000320007427-0000,10050795,"3,316.04",SPK037 - แพรกษา 2
1000320007428-0000,10050103,"3,316.04",BKK020 - ซอยนิคมอุตสาหกรรม
1000320007429-0000,10050630,"3,316.04",UDN006 - นาดี
1000320007430-0000,10050630,"3,316.04",UDN006 - นาดี
1000320007431-0000,10050801,"3,316.05",UDN015 - ศรีสุทโธ
1000320007432-0000,10050799,"3,316.05",NMA083 - พิมายเมืองใหม่
1000320007433-0000,10050801,"3,316.05",UDN015 - ศรีสุทโธ
1000320007434-0000,10050801,"3,316.05",UDN015 - ศรีสุทโธ
1000320007435-0000,10050630,"3,316.05",UDN006 - นาดี
1000320007436-0000,10050630,"3,316.05",UDN006 - นาดี
1000320007437-0000,10050571,"3,316.05",SRN011 - หน้ารพ.รัตนบุรี
1000320007438-0000,10050795,"3,316.05",SPK037 - แพรกษา 2
1000320007439-0000,10050799,"3,316.05",NMA083 - พิมายเมืองใหม่
1000320007440-0000,10050619,"3,316.05",CBI063 - เทพประสิทธิ์
1000320007441-0000,10050785,"3,316.05",RYG035 - แยกซีเคพลาซ่า
1000320007442-0000,10050767,"3,316.05",RYG034 - ตลาดเปี่ยมลาภ
1000320007443-0000,10050789,"3,316.05",BKK074 - ตลาดมีนบุรี
1000320007444-0000,10050789,"3,316.05",BKK074 - ตลาดมีนบุรี
1000320007445-0000,10050785,"3,316.05",RYG035 - แยกซีเคพลาซ่า
1000320007446-0000,10050785,"3,316.05",RYG035 - แยกซีเคพลาซ่า
1000320007447-0000,10050785,"3,316.05",RYG035 - แยกซีเคพลาซ่า
1000320007448-0000,10050785,"3,316.05",RYG035 - แยกซีเคพลาซ่า
1000320007449-0000,10050792,"3,316.05",PTE035 - เอื้ออาทรเสมาฟ้าคราม
1000320007450-0000,10050789,"3,316.05",BKK074 - ตลาดมีนบุรี
1000320007451-0000,10050789,"3,316.05",BKK074 - ตลาดมีนบุรี
1000320007452-0000,10050789,"3,316.05",BKK074 - ตลาดมีนบุรี
1000320007453-0000,10050767,"3,316.05",RYG034 - ตลาดเปี่ยมลาภ
1000320007454-0000,10050767,"3,316.05",RYG034 - ตลาดเปี่ยมลาภ
1000320007455-0000,10050767,"3,316.05",RYG034 - ตลาดเปี่ยมลาภ
1000320007456-0000,10050767,"3,316.05",RYG034 - ตลาดเปี่ยมลาภ
1000320007457-0000,10050791,"3,316.05",UBN028 - เขื่องใน
1000320007458-0000,10050791,"3,316.05",UBN028 - เขื่องใน
1000320007459-0000,10050791,"3,316.05",UBN028 - เขื่องใน
1000320007460-0000,10050791,"3,316.05",UBN028 - เขื่องใน
1000320007461-0000,10050778,"3,316.05",SNK001 - หน้าศูนย์ราชการสกลนคร
1000320007462-0000,10050778,"3,316.05",SNK001 - หน้าศูนย์ราชการสกลนคร
1000320007463-0000,10050739,"3,316.05",RYG021 - บ้านค่าย
1000320007464-0000,10050791,"3,316.05",UBN028 - เขื่องใน
1000320007465-0000,10050778,"3,316.05",SNK001 - หน้าศูนย์ราชการสกลนคร
1000320007466-0000,10050778,"3,316.05",SNK001 - หน้าศูนย์ราชการสกลนคร
1000320007467-0000,10050739,"3,316.05",RYG021 - บ้านค่าย
1000320007468-0000,10050739,"3,316.05",RYG021 - บ้านค่าย
1000320007469-0000,10050424,"3,316.05",RYG005 - เกาะกลอย
1000320007470-0000,10050739,"3,316.05",RYG021 - บ้านค่าย
1000320007471-0000,10050739,"3,316.05",RYG021 - บ้านค่าย
1000320007472-0000,10050424,"3,316.05",RYG005 - เกาะกลอย
1000320007473-0000,10050424,"3,316.05",RYG005 - เกาะกลอย
1000320007474-0000,10050424,"3,316.05",RYG005 - เกาะกลอย
1000320007475-0000,10050778,"3,316.05",SNK001 - หน้าศูนย์ราชการสกลนคร
1000320007476-0000,10050775,"3,316.05",CBI097 - หนองขาม
1000320007477-0000,10050775,"3,316.05",CBI097 - หนองขาม
1000320007478-0000,10050775,"3,316.05",CBI097 - หนองขาม
1000320007479-0000,10050775,"3,316.05",CBI097 - หนองขาม
1000320007480-0000,10050775,"3,316.05",CBI097 - หนองขาม
1000320007481-0000,10050806,"3,319.80",RYG036 - ทับมา
1000320007482-0000,10050806,"3,319.80",RYG036 - ทับมา
1000320007483-0000,10050806,"3,319.80",RYG036 - ทับมา
1000320007484-0000,10050806,"3,319.80",RYG036 - ทับมา
1000320007485-0000,10050806,"3,319.80",RYG036 - ทับมา
1000320007487-0000,10050804,"3,319.80",LEI003 - ร่วมใจ
1000320007488-0000,10050085,"3,319.80",CCO003 - มหาจักรพรรดิ์
1000320007490-0000,10050807,"3,319.80",RYG037 - กรอกยายชา
1000320007491-0000,10050804,"3,319.80",LEI003 - ร่วมใจ
1000320007492-0000,10050804,"3,319.80",LEI003 - ร่วมใจ
1000320007493-0000,10050804,"3,319.80",LEI003 - ร่วมใจ
1000320007494-0000,10050807,"3,319.80",RYG037 - กรอกยายชา
1000320007495-0000,10050804,"3,319.80",LEI003 - ร่วมใจ
1000320007496-0000,10050807,"3,319.80",RYG037 - กรอกยายชา
1000320007497-0000,10020000,"3,319.80",HO - NTB-Head Office
1000320007498-0000,10050794,"3,319.80",PRI010 - ศรีมหาโพธิ
1000320007499-0000,10050795,"3,319.80",SPK037 - แพรกษา 2
1000320007500-0000,10050795,"3,319.80",SPK037 - แพรกษา 2
1000320007501-0000,10050793,"3,319.80",NYK003 - แยกวัดอุดม
1000320007502-0000,10050793,"3,319.80",NYK003 - แยกวัดอุดม
1000320007504-0000,10050794,"3,319.80",PRI010 - ศรีมหาโพธิ
1000320007505-0000,10050793,"3,319.80",NYK003 - แยกวัดอุดม
1000320007506-0000,10050794,"3,319.80",PRI010 - ศรีมหาโพธิ
1000320007507-0000,10050793,"3,319.80",NYK003 - แยกวัดอุดม
1000320007509-0000,10050807,"3,319.80",RYG037 - กรอกยายชา
1000320007510-0000,10050793,"3,319.80",NYK003 - แยกวัดอุดม
1000320007511-0000,10050794,"3,319.80",PRI010 - ศรีมหาโพธิ
1000320007513-0000,10050794,"3,319.80",PRI010 - ศรีมหาโพธิ
1000320007514-0000,10050424,"3,319.80",RYG005 - เกาะกลอย
1000320007515-0000,10050649,"3,319.80",CBI076 - พัทยาสาย 3
1000320007516-0000,10050228,"3,319.80",BRM007 - สามแยกโคกวัด
1000320007347-0000,10050777,"4,392.23",MDH003 - สามแยก ธกส.มุกดาหาร
1000320007348-0000,10050776,"4,392.23",YST007 - เมืองยโสธร
1000320007349-0000,10050763,"4,392.23",PTE034 - ธัญบุรี คลอง7
1000320007350-0000,10050770,"4,392.23",MKM019 - ชื่นชม
1000320007351-0000,10050788,"4,392.23",SSK012 - หนองหญ้าลาด
1000320007352-0000,10050781,"4,392.23",UDN014 - ถนนทหาร
1000320007353-0000,10050792,"4,392.23",PTE035 - เอื้ออาทรเสมาฟ้าคราม
1000320007354-0000,10050109,"4,392.23",SRI019 - หนองโดน
1000320007355-0000,10050786,"4,392.23",UBN027 - ถนนชยางกูร (ม่วงสามสิบ)
1000320007356-0000,10050791,"4,392.23",UBN028 - เขื่องใน
1000320007357-0000,10050780,"4,392.23",NKI001 - เมืองหนองคาย
1000320007358-0000,10050769,"4,392.23",MKM018 - ถนนบรบือ-วาปีปทุม
1000320007359-0000,10050782,"4,392.23",KSN010 - คำม่วง
1000320007361-0000,10050336,"4,392.23",BKK054 - ท่าข้าม ซอย 7
1000320007363-0000,10050739,"4,392.23",RYG021 - บ้านค่าย
1000320007364-0000,10050228,"4,101.07",BRM007 - สามแยกโคกวัด
1000320007365-0000,10050789,"4,392.23",BKK074 - ตลาดมีนบุรี
1000320007366-0000,10050790,"4,392.23",BKK075 - ไทยรามัญ (หทัยราษฎร์)
1000320007367-0000,10050778,"4,392.23",SNK001 - หน้าศูนย์ราชการสกลนคร
1000320007368-0000,10050783,"4,392.23",CPM012 - บ้านเพชร
1000320007369-0000,10050784,"4,101.07",SPK034 - คลองสวน
1000320007370-0000,10050424,"4,392.23",RYG005 - เกาะกลอย
1000320007371-0000,10050787,"4,392.22",RYG033 - สี่แยกวังตาผิน
1000320007372-0000,10050775,"4,392.22",CBI097 - หนองขาม
1000320007373-0000,10050779,"4,392.22",MDH004 - หน้าตลาดอินโดจีน
1000320007374-0000,10050327,"4,392.22",PTE025 - พรธิสาร 3 คลอง 6
1000320007375-0000,10050234,"4,392.22",CPM003 - หนองปลาเฒ่า
1000320007376-0000,10050793,"4,392.22",NYK003 - แยกวัดอุดม
1000320007377-0000,10050767,"4,392.22",RYG034 - ตลาดเปี่ยมลาภ
1000320007378-0000,10050794,"4,392.22",PRI010 - ศรีมหาโพธิ
1000320007380-0000,10050785,"4,392.22",RYG035 - แยกซีเคพลาซ่า
1000320007557-0000,10050798,"3,340.86",YST008 - ถนนวิทยะธำรงค์
1000320007558-0000,10050180,"3,340.86",KKN004 - ตลาดคำไฮ
1000320007559-0000,10050796,"3,340.86",NSN015 - ดรีมแลนด์
1000320007560-0000,10050180,"3,340.86",KKN004 - ตลาดคำไฮ
1000320007561-0000,10050796,"3,340.86",NSN015 - ดรีมแลนด์
1000320007562-0000,10050796,"3,340.86",NSN015 - ดรีมแลนด์
1000320007563-0000,10050796,"3,340.86",NSN015 - ดรีมแลนด์
1000320007564-0000,10050797,"3,340.86",PTE036 - หน้าเมืองเอก
1000320007565-0000,10050180,"3,340.86",KKN004 - ตลาดคำไฮ
1000320007566-0000,10050180,"3,340.86",KKN004 - ตลาดคำไฮ
1000320007567-0000,10050797,"3,340.86",PTE036 - หน้าเมืองเอก
1000320007568-0000,10050797,"3,340.86",PTE036 - หน้าเมืองเอก
1000320007569-0000,10050795,"3,340.86",SPK037 - แพรกษา 2
1000320007570-0000,10050796,"3,340.86",NSN015 - ดรีมแลนด์
1000320007571-0000,10050797,"3,340.87",PTE036 - หน้าเมืองเอก
1000320007572-0000,10050797,"3,340.87",PTE036 - หน้าเมืองเอก
1000320007573-0000,10050798,"3,340.92",YST008 - ถนนวิทยะธำรงค์
1000320007574-0000,10050798,"3,340.92",YST008 - ถนนวิทยะธำรงค์
1000320007575-0000,10050798,"3,340.92",YST008 - ถนนวิทยะธำรงค์
1000320007576-0000,10050798,"3,340.92",YST008 - ถนนวิทยะธำรงค์
1000320007615-0000,10050551,"3,307.42",LRI010 - วงเวียนสระแก้ว
1000320007616-0000,10050750,"3,307.42",BKK073 - สรงประภา
1000320007617-0000,10050339,"3,307.41",BKK051 - ตลาดนัดจ่าศาล ราษฎร์พัฒนา
1000320007619-0000,10050756,"3,307.41",CBI096 - หนองแขวะ
1000320007697-0000,10050807,"4,164.71",RYG037 - กรอกยายชา
1000320007699-0000,10050802,"4,164.71",NKI002 - โพนพิสัย
1000320007702-0000,10050339,"4,164.71",BKK051 - ตลาดนัดจ่าศาล ราษฎร์พัฒนา
1000320007704-0000,10050795,"4,164.71",SPK037 - แพรกษา 2
1000320007705-0000,10050800,"4,164.71",BRM021 - ดูโฮมบุรีรัมย์
1000320007713-0000,#N/A,"4,164.71",UDN018 - 
1000320007715-0000,10050799,"4,164.72",NMA083 - พิมายเมืองใหม่
1000320007716-0000,10050805,"4,164.72",AYA025 - ปากกราน
1000320007717-0000,10050180,"4,164.72",KKN004 - ตลาดคำไฮ
1000320007718-0000,10050796,"4,164.72",NSN015 - ดรีมแลนด์
1000320007719-0000,10050804,"4,164.72",LEI003 - ร่วมใจ
1000320007720-0000,10050797,"4,164.72",PTE036 - หน้าเมืองเอก
1000320007721-0000,10050798,"4,164.72",YST008 - ถนนวิทยะธำรงค์
1000320007726-0000,10050801,"4,164.72",UDN015 - ศรีสุทโธ
1000320007727-0000,10050630,"4,164.72",UDN006 - นาดี
1000320007935-0000,10050806,"4,401.16",RYG036 - ทับมา
